2023/05/28,09:31:00,  Test No.:,        17
MAP,BASE,L-TOP,X,1   ,Y,1   
DATA:,3262-019(OS)-OGRT-220902-d
Result of AutoTest(All steps)

Start time:,05/28/2023,09:26:30
End time  :,05/28/2023,09:31:00

Test result:,PASS

TEST-Step,2850,PASS-Step,2850,FAIL-Step,0
CCD-Err,0,SKIP-Err,0




AST,STEP-No.  ,STEP-NAME   ,,MOD  ,JUDGE   ,,  MODE  ,,,,REF-VALUE  ,MEAS-VALUE ,HI-LIMIT   ,LO-LIMIT   ,,,,,,,,,NET_H ,NET_L ,NET_G1,NET_G2,,,,,,,,,,,,,,,,,,,,,,,PNT-H ,PNT-L ,,,,,,,,,,,,SMX,SMY,
AST,80        ,N18   N88   ,,1    ,GOOD    ,, OPEN   ,,,, 20.00   R, 999.9  GR,           ,           ,,,,,,,,,1280  ,1355  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,18    ,88    ,,,,,,,,,,,,  0,  0,
AST,81        ,N18   N84   ,,1    ,GOOD    ,, OPEN   ,,,, 20.00   R, 999.9  GR,           ,           ,,,,,,,,,1280  ,1356  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,18    ,84    ,,,,,,,,,,,,  0,  0,
AST,82        ,N18   N89   ,,1    ,GOOD    ,, OPEN   ,,,, 20.00   R, 999.9  GR,           ,           ,,,,,,,,,1280  ,1369  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,18    ,89    ,,,,,,,,,,,,  0,  0,
AST,83        ,N18   N83   ,,1    ,GOOD    ,, OPEN   ,,,, 20.00   R, 999.9  GR,           ,           ,,,,,,,,,1280  ,1371  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,18    ,83    ,,,,,,,,,,,,  0,  0,
AST,84        ,N18   N90   ,,1    ,GOOD    ,, OPEN   ,,,, 20.00   R, 999.9  GR,           ,           ,,,,,,,,,1280  ,1373  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,18    ,90    ,,,,,,,,,,,,  0,  0,
AST,85        ,N18   N91   ,,1    ,GOOD    ,, OPEN   ,,,, 20.00   R, 999.9  GR,           ,           ,,,,,,,,,1280  ,1374  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,18    ,91    ,,,,,,,,,,,,  0,  0,
AST,86        ,N18   N78   ,,1    ,GOOD    ,, OPEN   ,,,, 20.00   R, 999.9  GR,           ,           ,,,,,,,,,1280  ,1375  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,18    ,78    ,,,,,,,,,,,,  0,  0,
AST,87        ,N18   N79   ,,1    ,GOOD    ,, OPEN   ,,,, 20.00   R, 999.9  GR,           ,           ,,,,,,,,,1280  ,1376  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,18    ,79    ,,,,,,,,,,,,  0,  0,
AST,88        ,N18   N80   ,,1    ,GOOD    ,, OPEN   ,,,, 20.00   R, 999.9  GR,           ,           ,,,,,,,,,1280  ,1377  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,18    ,80    ,,,,,,,,,,,,  0,  0,
AST,89        ,N18   N81   ,,1    ,GOOD    ,, OPEN   ,,,, 20.00   R, 999.9  GR,           ,           ,,,,,,,,,1280  ,1378  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,18    ,81    ,,,,,,,,,,,,  0,  0,
AST,90        ,N18   N82   ,,1    ,GOOD    ,, OPEN   ,,,, 20.00   R, 999.9  GR,           ,           ,,,,,,,,,1280  ,1381  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,18    ,82    ,,,,,,,,,,,,  0,  0,
AST,91        ,N18   N92   ,,1    ,GOOD    ,, OPEN   ,,,, 20.00   R, 999.9  GR,           ,           ,,,,,,,,,1280  ,1383  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,18    ,92    ,,,,,,,,,,,,  0,  0,
AST,92        ,N18   N93   ,,1    ,GOOD    ,, OPEN   ,,,, 20.00   R, 999.9  GR,           ,           ,,,,,,,,,1280  ,1384  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,18    ,93    ,,,,,,,,,,,,  0,  0,
AST,93        ,N18   N94   ,,1    ,GOOD    ,, OPEN   ,,,, 20.00   R, 999.9  GR,           ,           ,,,,,,,,,1280  ,2692  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,18    ,94    ,,,,,,,,,,,,  0,  0,
